--------- beginning of main
93,451,15,2,0,0,0,19,15,6,2,2,0,26,15,28,8,8,0,51
98,476,15,2,0,0,0,19,15,6,2,2,0,26,15,28,8,8,0,51
===== SESI BERAKHIR — RINGKASAN AKHIR =====
98,479,15,2,0,0,0,17,15,6,2,2,0,26,15,28,8,8,0,51
Time(s),N,MIN_Sensor,MIN_Serial,MIN_Algo,MIN_TTS,MIN_BT,MIN_Total,AVG_Sensor,AVG_Serial,AVG_Algo,AVG_TTS,AVG_BT,AVG_Total,MAX_Sensor,MAX_Serial,MAX_Algo,MAX_TTS,MAX_BT,MAX_Total
0,1,15,8,0,0,0,23,15,8,0,0,0,23,15,8,0,0,0,23
5,26,15,2,0,0,0,19,15,6,1,1,0,24,15,14,4,4,0,35
10,51,15,2,0,0,0,19,15,5,1,1,0,23,15,14,4,4,0,35
15,76,15,2,0,0,0,19,15,6,1,1,0,25,15,21,4,4,0,44
20,101,15,2,0,0,0,19,15,6,2,2,0,25,15,21,4,4,0,44
25,126,15,2,0,0,0,19,15,6,2,2,0,25,15,21,4,4,0,44
31,151,15,2,0,0,0,19,15,6,2,2,0,25,15,21,4,4,0,44
36,176,15,2,0,0,0,19,15,6,2,2,0,25,15,21,4,4,0,44
41,201,15,2,0,0,0,19,15,6,2,2,0,25,15,21,4,4,0,44
46,226,15,2,0,0,0,19,15,6,2,2,0,25,15,21,4,4,0,44
51,251,15,2,0,0,0,19,15,6,2,2,0,25,15,21,6,5,0,44
56,276,15,2,0,0,0,19,15,6,2,2,0,25,15,21,6,5,0,44
61,301,15,2,0,0,0,19,15,6,2,2,0,25,15,21,6,5,0,44
66,326,15,2,0,0,0,19,15,6,2,2,0,25,15,22,6,5,0,44
71,351,15,2,0,0,0,19,15,6,2,2,0,25,15,22,6,5,0,44
76,376,15,2,0,0,0,19,15,6,2,2,0,25,15,26,6,5,0,45
81,401,15,2,0,0,0,19,15,6,2,2,0,25,15,26,6,6,0,53
87,426,15,2,0,0,0,19,15,6,2,2,0,25,15,26,6,6,0,53
92,451,15,2,0,0,0,19,15,6,2,2,0,25,15,26,6,6,0,53
97,476,15,2,0,0,0,19,15,6,2,2,0,26,15,26,6,6,0,53
102,501,15,2,0,0,0,19,15,6,2,2,0,25,15,26,6,6,0,53
107,526,15,2,0,0,0,19,15,6,2,2,0,25,15,26,6,6,0,53
112,551,15,2,0,0,0,19,15,6,2,2,0,25,15,26,6,6,0,53
117,576,15,2,0,0,0,19,15,6,2,2,0,26,15,26,6,6,0,53
122,601,15,2,0,0,0,19,15,6,2,2,0,25,15,26,6,6,0,53
127,626,15,2,0,0,0,19,15,6,2,2,0,26,15,29,6,6,0,53
132,651,15,2,0,0,0,19,15,6,2,2,0,26,15,29,6,6,0,53
137,676,15,2,0,0,0,19,15,6,2,2,0,26,15,29,6,6,0,53
143,701,15,2,0,0,0,19,15,7,2,2,0,26,15,36,6,6,0,57
148,726,15,2,0,0,0,19,15,7,2,2,0,26,15,48,6,6,0,67
153,751,15,2,0,0,0,19,15,7,2,2,0,26,15,48,6,6,0,67
158,776,15,2,0,0,0,19,15,7,2,2,0,26,15,48,6,6,0,67
163,801,15,2,0,0,0,19,15,7,2,2,0,26,15,48,6,6,0,67
168,826,15,2,0,0,0,19,15,7,2,2,0,26,15,48,6,6,0,67
